item_id,question_id,pipeline,question,evidence,sql_gold,sql_generated,execution_status,execution_error,annotator_a,annotator_b,comment
B_bird_mini_781,bird_mini_781,B,Provide the heights of the heroes whose eye colours are amber.,heights of the heroes refers to height_cm; eye colours are amber refers to colour.colour = 'Amber' WHERE eye_colour_id = colour.id;,SELECT T1.height_cm FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id WHERE T2.colour = 'Amber',"SELECT s.height_cm
FROM superhero s
JOIN colour c ON s.eye_colour_id = c.id
WHERE c.colour = 'amber';",incorrect,,semantic,semantic,"Filtre 'amber' au lieu de 'Amber' : comparaison sensible a la casse, resultat vide/faux."
D_bird_mini_531,bird_mini_531,D,"Which user has a higher reputation, Harlan or Jarrod Dixon?","""Harlan"" and ""Jarrod Dixon"" are both DisplayName; highest reputation refers to Max(Reputation)","SELECT DisplayName FROM users WHERE DisplayName IN ('Harlan', 'Jarrod Dixon') AND Reputation = ( SELECT MAX(Reputation) FROM users WHERE DisplayName IN ('Harlan', 'Jarrod Dixon') )","SELECT
    DisplayName,
    Reputation
FROM
    users
WHERE
    DisplayName IN ('Harlan', 'Jarrod Dixon')
ORDER BY
    Reputation DESC
LIMIT 1;",incorrect,,ambiguous,ambiguous,Bon utilisateur identifie mais colonne Reputation en trop et gestion des ex-aequo differente (LIMIT vs sous-requete IN).
D_bird_mini_528,bird_mini_528,D,List the names of all the cards in the set Hour of Devastation and find the formats in which these cards are legal.,the set Hour of Devastation refers to set.name = 'Hour of Devastation'; names of all the cards in the set refers to cards.name; legal cards refers to status = 'Legal'; the formats refers to format,"SELECT DISTINCT T2.name , CASE WHEN T1.status = 'Legal' THEN T1.format ELSE NULL END FROM legalities AS T1 INNER JOIN cards AS T2 ON T2.uuid = T1.uuid WHERE T2.setCode IN ( SELECT code FROM sets WHERE name = 'Hour of Devastation' )","SELECT
    c.name AS card_name,
    l.format AS legal_format
FROM
    cards c
JOIN
    sets s ON c.setCode = s.code
JOIN
    legalities l ON c.uuid = l.uuid
WHERE
    s.name = 'Hour of Devastation'
    AND l.status = 'Legal';",incorrect,,semantic,semantic,WHERE status='Legal' au lieu du CASE WHEN attendu : exclut les cartes non legales au lieu de renvoyer NULL pour elles.
D_bird_mini_1084,bird_mini_1084,D,"Among the players born before the year 1986, how many of them would remain in his position and defense while the team attacked?","players born before the year 1986 refers to strftime('%Y', birthday)<'1986'; players who would remain in his position and defense while the team attacked refers to defensive_work_rate = 'high'; Should consider DISTINCT in the final result;","SELECT COUNT(DISTINCT t1.player_name) FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE STRFTIME('%Y',t1.birthday) < '1986' AND t2.defensive_work_rate = 'high'","SELECT COUNT(DISTINCT player_api_id)
FROM Player_Attributes
WHERE strftime('%Y', birthday) < '1986' AND defensive_work_rate = 'high';",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such column: birthday,structural,structural,Colonne 'birthday' inexistante dans Player_Attributes ; jointure avec la table Player manquante.
B_bird_mini_1521,bird_mini_1521,B,"For all the transactions happened during 8:00-9:00 in 2012/8/26, how many happened in CZE?",Czech Republic can be represented as the Country value in the gasstations table is 'CZE'; '2012/8/26' can be represented by '2012-08-26'; during 8:00-9:00 can be represented as Time BETWEEN '08:00:00' AND '09:00:00',SELECT COUNT(T1.TransactionID) FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-26' AND T1.Time BETWEEN '08:00:00' AND '09:00:00' AND T2.Country = 'CZE',"SELECT COUNT(*)
FROM transactions_1k
WHERE Date = '2012-08-26'
  AND Time BETWEEN '08:00:00' AND '09:00:00'
  AND GasStationID IN (
    SELECT GasStationID
    FROM gasstations
    WHERE Country = 'CZE'
  );",correct,,correct,correct,"Logique equivalente au gold (sous-requete vs jointure), meme filtre et resultat."
D_bird_mini_1302,bird_mini_1302,D,"For the patients with a normal range of creatinine phosphokinase, how many of them have a positive measure of degree of coagulation?",normal range of creatinine phosphokinase refers to CPK < 250; positive measure of degree of coagulation refers to KCT = '+' or RVVT = '+' or LAC = '+' ;,SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID INNER JOIN Examination AS T3 ON T1.ID = T3.ID WHERE T2.CPK < 250 AND (T3.KCT = '+' OR T3.RVVT = '+' OR T3.LAC = '+'),"SELECT COUNT(Patient.ID)
FROM Patient
JOIN Laboratory ON Patient.ID = Laboratory.ID
WHERE Laboratory.CPK < 250
AND (Patient.KCT = '+' OR Patient.RVVT = '+' OR Patient.LAC = '+');",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such column: Patient.KCT,structural,structural,Colonne KCT inexistante dans Patient ; elle se trouve dans Examination.
D_bird_mini_629,bird_mini_629,D,Calculate the ratio of votes in 2010 and 2011.,"DIVIDE(COUNT(Id where YEAR(CreationDate) = 2010), COUNT(Id where YEAR(CreationDate) = 2011)) FROM votes;","SELECT CAST(SUM(IIF(STRFTIME('%Y', CreationDate) = '2010', 1, 0)) AS REAL) / SUM(IIF(STRFTIME('%Y', CreationDate) = '2011', 1, 0)) FROM votes","SELECT
    COUNT(CASE WHEN YEAR(v.CreationDate) = 2010 THEN v.Id END) / COUNT(CASE WHEN YEAR(v.CreationDate) = 2011 THEN v.Id END) AS vote_ratio
FROM
    votes v
WHERE
    v.CreationDate BETWEEN '2010-01-01' AND '2010-12-31'
    OR v.CreationDate BETWEEN '2011-01-01' AND '2011-12-31';",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such function: YEAR,structural,structural,Fonction YEAR() inexistante en SQLite (utiliser STRFTIME).
D_bird_mini_1350,bird_mini_1350,D,"What is the status of the event which bought ""Post Cards, Posters"" on 2019/8/20?","'Post Cards, Posters' is an expense description; on 2019/8/20 refers to expense_date = '2019-8-20'; status of event refers to event_status","SELECT T1.event_status FROM budget AS T1 INNER JOIN expense AS T2 ON T1.budget_id = T2.link_to_budget WHERE T2.expense_description = 'Post Cards, Posters' AND T2.expense_date = '2019-08-20'","SELECT b.event_status
FROM expense e
JOIN budget b ON e.link_to_budget = b.link_to_event
WHERE e.expense_description = 'Post Cards, Posters' AND e.expense_date = '2019-08-20';",incorrect,,semantic,semantic,"Mauvaise colonne de jointure : link_to_event au lieu de budget_id, ne correspond pas au schema attendu."
D_bird_mini_1149,bird_mini_1149,D,Are there more in-patient or outpatient who were male? What is the deviation in percentage?,"male refers to SEX = 'M'; in-patient refers to Admission = '+'; outpatient refers to Admission = '-'; percentage = DIVIDE(COUNT(ID) where SEX = 'M' and Admission = '+', COUNT(ID) where SEXÂ  = 'M' and Admission = '-')",SELECT CAST(SUM(CASE WHEN Admission = '+' THEN 1 ELSE 0 END) AS REAL) * 100 / SUM(CASE WHEN Admission = '-' THEN 1 ELSE 0 END) FROM Patient WHERE SEX = 'M',"SELECT
    CASE
        WHEN COUNT(CASE WHEN Admission = '+' THEN 1 END) * 100.0 / COUNT(*) > COUNT(CASE WHEN Admission = '-' THEN 1 END) * 100.0 / COUNT(*)
        THEN 'in-patient'
        ELSE 'outpatient'
    END AS More_Frequent_Admission_Type,
    (COUNT(CASE WHEN Admission = '+' THEN 1 END) * 100.0 / COUNT(*)) - (COUNT(CASE WHEN Admission = '-' THEN 1 END) * 100.0 / COUNT(*)) AS Deviation_in_Percentage
FROM
    Patient
WHERE
    SEX = 'M';",incorrect,,semantic,semantic,Formule differente de l'evidence : calcule une difference de pourcentages au lieu du ratio demande.
B_bird_mini_169,bird_mini_169,B,What was the growth rate of the total amount of loans across all accounts for a male client between 1996 and 1997?,Growth rate = (sum of amount_1997 - sum of amount_1996) / (sum of amount_1996) * 100%; Male refers to gender = 'M',"SELECT CAST((SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1997' THEN T1.amount ELSE 0 END) - SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1996' THEN T1.amount ELSE 0 END)) AS REAL) * 100 / SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1996' THEN T1.amount ELSE 0 END) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN disp AS T3 ON T3.account_id = T2.account_id INNER JOIN client AS T4 ON T4.client_id = T3.client_id WHERE T4.gender = 'M' AND T3.type = 'OWNER'","SELECT
    (SUM(CASE WHEN EXTRACT(YEAR FROM date) = 1997 THEN amount ELSE 0 END) - SUM(CASE WHEN EXTRACT(YEAR FROM date) = 1996 THEN amount ELSE 0 END)) / SUM(CASE WHEN EXTRACT(YEAR FROM date) = 1996 THEN amount ELSE 0 END) AS growth_rate
FROM
    loan
JOIN
    client ON loan.account_id = client.account_id
WHERE
    client.gender = 'M' AND
    EXTRACT(YEAR FROM date) IN (1996, 1997);",incorrect,"SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : near ""FROM"": syntax error",structural,structural,Erreur de syntaxe SQL (mise en forme invalide autour de FROM).
